1756801588677843456,0.00940,0.18759,-0.01729,0.71166,-0.70251,-0.00300,-0.00222,-0.00549,0.22101,-0.04690,
1756801588757841920,0.00410,0.22014,-0.02845,0.71094,-0.70324,-0.00231,-0.00232,0.00020,0.33918,-0.07118,
1756801588837846272,-0.01458,0.27821,-0.03396,0.70407,-0.71010,-0.00410,-0.00505,-0.03622,0.38819,-0.06331,
1756801588917883648,-0.02271,0.31548,-0.03349,0.69924,-0.71484,-0.00415,-0.00660,-0.05562,0.39228,-0.05229,
1756801588997847808,-0.02588,0.34095,-0.03580,0.69600,-0.71798,-0.00473,-0.00795,-0.08073,0.38853,-0.04928,
1756801589077844224,-0.02261,0.36610,-0.03701,0.69213,-0.72169,-0.00575,-0.00878,-0.05632,0.40986,-0.04245,
1756801589157839616,-0.02561,0.40022,-0.04793,0.68828,-0.72534,-0.00681,-0.01066,-0.05417,0.41718,-0.05911,
1756801589237844736,-0.02920,0.42998,-0.05792,0.68432,-0.72902,-0.00824,-0.01295,-0.06008,0.42134,-0.06069,
1756801589317844224,-0.03227,0.46127,-0.06596,0.67938,-0.73355,-0.01040,-0.01542,-0.05720,0.44081,-0.06266,
1756801589397837568,-0.03113,0.49525,-0.07454,0.67305,-0.73928,-0.01233,-0.01757,-0.03621,0.40719,-0.07446,
1756801589477845760,-0.02792,0.52893,-0.08334,0.66829,-0.74354,-0.01348,-0.01910,-0.04563,0.41124,-0.07710,
1756801589557844992,-0.02457,0.56375,-0.09143,0.66193,-0.74914,-0.01506,-0.02040,-0.03063,0.41684,-0.07742,
1756801589637845504,-0.02349,0.59864,-0.10125,0.65942,-0.75130,-0.01610,-0.02142,0.00838,0.44578,-0.07353,
1756801589717847808,-0.02112,0.63863,-0.10977,0.65630,-0.75402,-0.01589,-0.02176,-0.00376,0.43413,-0.07262,
1756801589797840128,-0.02305,0.67697,-0.11793,0.65882,-0.75183,-0.01579,-0.02147,0.00142,0.43427,-0.07892,
1756801589877842432,-0.02849,0.71402,-0.12322,0.66524,-0.74618,-0.01503,-0.02106,-0.04754,0.36029,-0.06952,
1756801589957841664,-0.03154,0.74965,-0.12920,0.67064,-0.74135,-0.01482,-0.02041,-0.02501,0.45213,-0.07662,
1756801590037841920,-0.03380,0.78284,-0.13763,0.67435,-0.73801,-0.01419,-0.02005,-0.04109,0.42637,-0.08474,
1756801590117843200,-0.03710,0.82324,-0.14654,0.67747,-0.73517,-0.01345,-0.01935,-0.05625,0.47066,-0.10068,
1756801590197845760,-0.03840,0.86013,-0.15290,0.67902,-0.73376,-0.01286,-0.01909,-0.03977,0.44402,-0.09903,
1756801590277846016,-0.03652,0.89786,-0.15932,0.68122,-0.73175,-0.01210,-0.01827,-0.05215,0.47407,-0.07983,
1756801590357846272,-0.03695,0.94660,-0.16381,0.68530,-0.72799,-0.01118,-0.01662,-0.00227,0.48595,-0.09816,
1756801590437841664,-0.03398,0.99605,-0.16478,0.68293,-0.73028,-0.00903,-0.01445,-0.00417,0.49982,-0.08410,
1756801590517839872,-0.03336,1.04930,-0.17013,0.68511,-0.72828,-0.00779,-0.01341,-0.03129,0.54496,-0.08795,
1756801590597845248,-0.03049,1.09869,-0.17277,0.68478,-0.72865,-0.00549,-0.01093,0.01695,0.55932,-0.08037,
1756801590677836544,-0.02803,1.14560,-0.17547,0.68243,-0.73092,-0.00114,-0.00671,-0.00014,0.55308,-0.06667,
1756801590757922816,-0.02811,1.18789,-0.18319,0.68403,-0.72944,0.00254,-0.00383,-0.00340,0.48419,-0.06891,
1756801590837839104,-0.02744,1.22800,-0.18804,0.67973,-0.73343,0.00711,0.00105,0.00352,0.50735,-0.04973,
1756801590917839616,-0.02901,1.27053,-0.19266,0.68280,-0.73049,0.01172,0.00549,-0.01583,0.55904,-0.05516,
1756801590997843712,-0.03220,1.31313,-0.19597,0.68002,-0.73296,0.01591,0.00995,-0.01562,0.50413,-0.04672,
1756801591077837056,-0.03415,1.35627,-0.19734,0.68221,-0.73078,0.01967,0.01313,-0.01775,0.51980,-0.01240,
1756801591157917440,-0.03526,1.39887,-0.19789,0.68457,-0.72842,0.02255,0.01610,0.01484,0.53010,-0.03786,
1756801591237843712,-0.03567,1.43870,-0.19683,0.68320,-0.72953,0.02561,0.01896,-0.00666,0.48860,-0.01854,
1756801591317843200,-0.03842,1.49622,-0.20084,0.68749,-0.72559,0.02414,0.01719,0.00278,0.54786,-0.01807,
1756801591397835520,-0.03671,1.53861,-0.19821,0.68702,-0.72589,0.02676,0.01940,0.01303,0.56699,-0.01289,
1756801591477833728,-0.03800,1.58847,-0.19586,0.68729,-0.72555,0.02845,0.01977,-0.02795,0.50769,0.00891,
1756801591557843968,-0.05096,1.67141,-0.19177,0.68676,-0.72599,0.02947,0.02096,-0.01032,0.69516,0.02583,
1756801591637847296,-0.05992,1.72276,-0.18873,0.69335,-0.71964,0.03071,0.02098,-0.06524,0.64846,0.02037,
1756801591717837824,-0.06497,1.77271,-0.18570,0.68890,-0.72393,0.03038,0.02023,-0.06415,0.62380,0.01585,
1756801591797863936,-0.07188,1.85442,-0.19078,0.69052,-0.72262,0.02698,0.01683,-0.03385,0.69363,0.03176,
1756801591878012416,-0.07155,1.90549,-0.19549,0.69612,-0.71732,0.02530,0.01493,-0.02491,0.75560,0.02165,
1756801591957941760,-0.04814,1.89912,-0.22585,0.69693,-0.71693,0.01656,0.00535,-0.01148,0.57626,-0.04339,
1756801592037836032,-0.04791,1.95102,-0.23286,0.69635,-0.71755,0.01456,0.00322,0.01168,0.62470,-0.05966,
1756801592117837312,-0.04762,1.99228,-0.23570,0.69459,-0.71924,0.01484,0.00273,-0.03285,0.50812,-0.02687,
1756801592197835520,-0.04905,2.03558,-0.24174,0.70026,-0.71375,0.01422,0.00160,0.00736,0.59134,-0.04501,
1756801592277837824,-0.04904,2.06442,-0.24599,0.69851,-0.71545,0.01466,0.00112,-0.03269,0.44968,-0.06480,
1756801592357833216,-0.07216,2.16441,-0.25318,0.69122,-0.72254,0.01222,-0.00176,-0.06609,0.57081,-0.06756,
1756801592437838592,-0.07693,2.20738,-0.25789,0.69565,-0.71829,0.01139,-0.00232,-0.04846,0.54765,-0.03299,
1756801592517832960,-0.07667,2.23995,-0.26542,0.69451,-0.71939,0.01081,-0.00400,-0.03211,0.42445,-0.06569,
1756801592597837312,-0.08079,2.27294,-0.26989,0.69368,-0.72018,0.01130,-0.00455,-0.04077,0.38467,-0.07078,
1756801592677837568,-0.08579,2.30127,-0.27531,0.69612,-0.71781,0.01183,-0.00545,-0.03099,0.38960,-0.06518,
1756801592757833728,-0.08578,2.37564,-0.27896,0.69336,-0.72044,0.01347,-0.00628,-0.02703,0.45131,-0.06210,
1756801592837835264,-0.09087,2.40481,-0.28233,0.69275,-0.72098,0.01528,-0.00722,-0.04783,0.42293,-0.04552,
1756801592917838592,-0.07911,2.47427,-0.28710,0.69715,-0.71669,0.01618,-0.00894,-0.01450,0.50291,-0.06518,
1756801592997853696,-0.08136,2.50795,-0.29151,0.69270,-0.72092,0.01807,-0.01076,-0.01947,0.41822,-0.06011,
1756801593077835008,-0.08183,2.55108,-0.29514,0.69530,-0.71834,0.01929,-0.01313,-0.02836,0.51485,-0.06282,
1756801593157976576,-0.08299,2.59686,-0.30005,0.69424,-0.71923,0.02131,-0.01673,0.00011,0.47708,-0.05636,
1756801593237834752,-0.06485,2.60876,-0.32003,0.69324,-0.71999,0.02454,-0.02083,0.02104,0.42034,-0.07452,
