1756801589397837568,-0.02520,0.49595,-0.07716,0.66934,-0.74260,-0.01331,-0.01862,
1756801589477845760,-0.02216,0.53021,-0.08523,0.66325,-0.74799,-0.01426,-0.01998,
1756801589557844992,-0.02239,0.56505,-0.09524,0.65898,-0.75169,-0.01582,-0.02130,
1756801589637845504,-0.02221,0.60245,-0.10361,0.65832,-0.75223,-0.01671,-0.02211,
1756801589717847808,-0.02229,0.64202,-0.11149,0.65893,-0.75172,-0.01594,-0.02171,
1756801589797840128,-0.02647,0.68198,-0.11779,0.66442,-0.74692,-0.01533,-0.02055,
1756801589877842432,-0.02822,0.71597,-0.12257,0.66984,-0.74209,-0.01435,-0.02016,
1756801589957841664,-0.03145,0.74929,-0.13114,0.67290,-0.73932,-0.01447,-0.02008,
1756801590037841920,-0.03287,0.78653,-0.13869,0.67784,-0.73486,-0.01300,-0.01856,
1756801590117843200,-0.03474,0.82374,-0.14512,0.67886,-0.73393,-0.01245,-0.01848,
1756801590197845760,-0.03405,0.86172,-0.15157,0.68000,-0.73290,-0.01176,-0.01800,
1756801590277846016,-0.03434,0.90836,-0.15670,0.68368,-0.72952,-0.01071,-0.01655,
1756801590357846272,-0.03473,0.95335,-0.15848,0.68558,-0.72777,-0.00996,-0.01530,
1756801590437841664,-0.03178,1.00589,-0.16324,0.68369,-0.72962,-0.00762,-0.01296,
1756801590517839872,-0.03086,1.05367,-0.16684,0.68510,-0.72833,-0.00584,-0.01141,
1756801590597845248,-0.02878,1.10072,-0.16981,0.68294,-0.73044,-0.00175,-0.00705,
1756801590677836544,-0.02752,1.14725,-0.17883,0.68135,-0.73194,0.00226,-0.00303,
1756801590757922816,-0.02767,1.18496,-0.18350,0.68264,-0.73072,0.00707,0.00095,
1756801590837839104,-0.02867,1.22964,-0.18812,0.67817,-0.73479,0.01164,0.00595,
1756801590917839616,-0.03028,1.27040,-0.19176,0.68138,-0.73166,0.01665,0.01077,
1756801590997843712,-0.03327,1.31620,-0.19454,0.67885,-0.73388,0.01965,0.01400,
1756801591077837056,-0.03505,1.35782,-0.19574,0.68148,-0.73131,0.02246,0.01611,
1756801591157917440,-0.03614,1.39676,-0.19550,0.68413,-0.72868,0.02514,0.01889,
1756801591237843712,-0.03720,1.45449,-0.19934,0.68287,-0.72992,0.02434,0.01755,
1756801591317843200,-0.03763,1.49357,-0.19719,0.68740,-0.72557,0.02587,0.01904,
1756801591397835520,-0.03712,1.54376,-0.19655,0.68661,-0.72619,0.02795,0.02067,
1756801591477833728,-0.04852,1.61960,-0.19204,0.68595,-0.72674,0.02958,0.02103,
1756801591557843968,-0.05713,1.67381,-0.19026,0.68704,-0.72568,0.03011,0.02151,
1756801591637847296,-0.05855,1.71897,-0.18733,0.69383,-0.71911,0.03165,0.02181,
1756801591717837824,-0.06772,1.79898,-0.19276,0.68931,-0.72375,0.02736,0.01714,
1756801591797863936,-0.06977,1.85092,-0.19590,0.69176,-0.72156,0.02464,0.01430,
1756801591878012416,-0.04778,1.85081,-0.22263,0.69937,-0.71455,0.01631,0.00578,
1756801591957941760,-0.04864,1.90257,-0.22874,0.69681,-0.71711,0.01407,0.00278,
1756801592037836032,-0.04707,1.94696,-0.23204,0.69646,-0.71744,0.01456,0.00323,
1756801592117837312,-0.04787,1.99492,-0.23771,0.69406,-0.71977,0.01433,0.00219,
1756801592197835520,-0.04848,2.02463,-0.24210,0.70006,-0.71394,0.01427,0.00166,
1756801592277837824,-0.06650,2.11523,-0.24812,0.69733,-0.71663,0.01321,-0.00033,
1756801592357833216,-0.07338,2.16540,-0.25317,0.69122,-0.72255,0.01181,-0.00218,
1756801592437838592,-0.07353,2.20198,-0.26098,0.69552,-0.71843,0.01034,-0.00333,
1756801592517832960,-0.07801,2.23879,-0.26543,0.69451,-0.71939,0.01059,-0.00413,
1756801592597837312,-0.08219,2.27127,-0.27018,0.69356,-0.72030,0.01119,-0.00465,
1756801592677837568,-0.08391,2.33848,-0.27373,0.69543,-0.71848,0.01177,-0.00551,
1756801592757833728,-0.08831,2.36983,-0.27743,0.69388,-0.71994,0.01359,-0.00615,
1756801592837835264,-0.07677,2.43827,-0.28217,0.69191,-0.72178,0.01546,-0.00710,
1756801592917838592,-0.08066,2.46956,-0.28722,0.69747,-0.71638,0.01605,-0.00906,
1756801592997853696,-0.07973,2.51307,-0.29041,0.69271,-0.72091,0.01821,-0.01064,
1756801593077835008,-0.08130,2.55724,-0.29535,0.69523,-0.71841,0.01920,-0.01323,
1756801593157976576,-0.06730,2.57486,-0.31493,0.69253,-0.72088,0.02123,-0.01694,
1756801593237834752,-0.04643,2.64245,-0.29695,0.69379,-0.71941,0.02818,-0.01731,
1756801593317835008,-0.04136,2.68363,-0.29855,0.69374,-0.71918,0.03236,-0.02137,
1756801593397833472,-0.03388,2.71798,-0.29968,0.69723,-0.71535,0.03775,-0.02696,
1756801593477832704,-0.02381,2.75286,-0.30155,0.69602,-0.71586,0.04500,-0.03266,
1756801593557831168,-0.01342,2.78463,-0.30405,0.69741,-0.71353,0.05349,-0.04040,
1756801593637832448,-0.00223,2.81584,-0.30640,0.69698,-0.71274,0.06197,-0.04885,
1756801593717844736,0.00898,2.84407,-0.30916,0.69909,-0.70898,0.07129,-0.05951,
1756801593797830912,0.02200,2.87419,-0.31212,0.69614,-0.70980,0.08152,-0.07014,
1756801593877845248,0.03700,2.89934,-0.31425,0.69727,-0.70606,0.09317,-0.08128,
1756801593957832704,0.05278,2.92534,-0.31699,0.69581,-0.70464,0.10386,-0.09249,
1756801594037837056,0.06993,2.95320,-0.31982,0.69664,-0.70066,0.11391,-0.10392,
1756801594118040320,0.08959,2.98494,-0.32413,0.68876,-0.70506,0.12578,-0.11259,
1756801594197833472,0.11169,3.00137,-0.32573,0.69266,-0.69726,0.13576,-0.12500,
1756801594277831936,0.12210,3.05804,-0.33466,0.68285,-0.70304,0.14716,-0.13341,
1756801594357829120,0.14927,3.06972,-0.33808,0.68214,-0.69924,0.15612,-0.14620,
1756801594437831680,0.16458,3.11654,-0.34531,0.67688,-0.69941,0.16747,-0.15688,
1756801594517829888,0.19547,3.12990,-0.34842,0.67562,-0.69513,0.17886,-0.16834,
1756801594597830144,0.21841,3.18821,-0.35296,0.66954,-0.69518,0.19232,-0.17732,
1756801594677869568,0.22982,3.25666,-0.36796,0.65919,-0.69991,0.20377,-0.18460,
1756801594757850880,0.26312,3.24040,-0.36375,0.66335,-0.68977,0.21100,-0.19914,
1756801594837834240,0.26050,3.31616,-0.37683,0.65592,-0.69073,0.22110,-0.20921,
1756801594918145536,0.28765,3.35502,-0.38415,0.65018,-0.68940,0.23158,-0.21993,
